Name,AvatarEnum,QuestIndex,QuestTitle,QuestDescription,XpReward
0,"(Value=""Rama"")",0,"""The Exile Test""","""Choose between power and dharma""",500
1,"(Value=""Rama"")",1,"""The Golden Deer""","""Illusion vs reality puzzle""",500
2,"(Value=""Rama"")",2,"""Bridge of Faith""","""Build bridge with devotion (mini-game)""",500
3,"(Value=""Rama"")",3,"""Sita's Rescue""","""Strategic rescue mission""",500
4,"(Value=""Rama"")",4,"""Return to Ayodhya""","""Final blessing""",500
5,"(Value=""Sita"")",0,"""The Abduction""","""Protect the innocent""",500
6,"(Value=""Sita"")",1,"""Captivity in Lanka""","""Maintain faith in darkness""",500
7,"(Value=""Sita"")",2,"""Fire Test""","""Purity meter challenge""",500
8,"(Value=""Sita"")",3,"""Earth's Embrace""","""Environmental puzzle""",500
9,"(Value=""Sita"")",4,"""Divine Union""","""Blessing ceremony""",500
10,"(Value=""Hanuman"")",0,"""The Mountain Lift""","""Strength mini-game""",500
11,"(Value=""Hanuman"")",1,"""Ocean Crossing""","""Leap of faith mechanic""",500
12,"(Value=""Hanuman"")",2,"""Lanka Infiltration""","""Stealth mission""",500
13,"(Value=""Hanuman"")",3,"""Tail of Fire""","""Burning Lanka puzzle""",500
14,"(Value=""Hanuman"")",4,"""Rama's Messenger""","""Final devotion test""",500
15,"(Value=""Maitreya"")",0,"""Welcome to ZION""","""Tutorial quest""",500
16,"(Value=""Maitreya"")",1,"""The Round Table""","""Introduce DAO governance""",500
17,"(Value=""Maitreya"")",2,"""Consciousness Mining""","""Explain CL system""",500
18,"(Value=""Maitreya"")",3,"""Humanitarian Tithe""","""Charity mission""",500
19,"(Value=""Maitreya"")",4,"""Golden Egg Prophecy""","""Unlock treasure hunt""",500
20,"(Value=""Saraswati"")",0,"""The Library Initiation""","""Unlock Sacred Library access""",500
21,"(Value=""Saraswati"")",1,"""Bhagavad Gita Quiz""","""Comprehension test""",500
22,"(Value=""Saraswati"")",2,"""Upanishad Meditation""","""Contemplation mini-game""",500
23,"(Value=""Saraswati"")",3,"""Veena of Harmony""","""Music puzzle""",500
24,"(Value=""Saraswati"")",4,"""Blessing of Knowledge""","""Final wisdom test""",500
25,"(Value=""Arjuna"")",0,"""The Dilemma""","""Moral choice: fight family or abandon duty?""",500
26,"(Value=""Arjuna"")",1,"""Krishna's Teaching""","""Bhagavad Gita dialogue tree""",500
27,"(Value=""Arjuna"")",2,"""The Battlefield""","""Strategy combat""",500
28,"(Value=""Arjuna"")",3,"""Detachment Lesson""","""Emotional control test""",500
29,"(Value=""Arjuna"")",4,"""Victory Without Pride""","""Final Gita wisdom""",500
30,"(Value=""MamaYashoda"")",0,"""Baby Krishna""","""Care for divine child mini-game""",500
31,"(Value=""MamaYashoda"")",1,"""The Butter Thief""","""Playful puzzle""",500
32,"(Value=""MamaYashoda"")",2,"""Cosmic Vision""","""See universe in Krishna's mouth""",500
33,"(Value=""MamaYashoda"")",3,"""Letting Go""","""Detachment lesson""",500
34,"(Value=""MamaYashoda"")",4,"""Blessing of Motherhood""","""Final heart opening""",500
35,"(Value=""Vishwakarma"")",0,"""The 108 Pillars""","""Build EKAM Temple""",500
36,"(Value=""Vishwakarma"")",1,"""Golden Ratio""","""Fibonacci pattern puzzle""",500
37,"(Value=""Vishwakarma"")",2,"""Platonic Solids""","""3D geometry challenge""",500
38,"(Value=""Vishwakarma"")",3,"""Source Code""","""Meta-game: find clues in game files""",500
39,"(Value=""Vishwakarma"")",4,"""Architect's Blessing""","""Unlock hidden areas""",500
40,"(Value=""VyasaKamil"")",0,"""The Mahabharata Recitation""","""Story comprehension""",500
41,"(Value=""VyasaKamil"")",1,"""18 Parvas""","""Complete 18 chapter challenges""",500
42,"(Value=""VyasaKamil"")",2,"""Ganesha's Pen""","""Writing puzzle""",500
43,"(Value=""VyasaKamil"")",3,"""Timeless Wisdom""","""Apply ancient lessons to modern problems""",500
44,"(Value=""VyasaKamil"")",4,"""Sage's Blessing""","""Unlock all lore entries""",500
45,"(Value=""YeshuaSananda"")",0,"""The Sermon on the Mount""","""Beatitudes teaching""",500
46,"(Value=""YeshuaSananda"")",1,"""Cleansing the Temple""","""Righteous anger vs compassion""",500
47,"(Value=""YeshuaSananda"")",2,"""The Last Supper""","""Unity ritual""",500
48,"(Value=""YeshuaSananda"")",3,"""Gethsemane Choice""","""Ultimate sacrifice test""",500
49,"(Value=""YeshuaSananda"")",4,"""Easter Dawn""","""Resurrection celebration""",500
50,"(Value=""SaintGermain"")",0,"""The Alchemist's Laboratory""","""Transmutation puzzles""",500
51,"(Value=""SaintGermain"")",1,"""I AM Presence""","""Identity meditation""",500
52,"(Value=""SaintGermain"")",2,"""Freedom from Karma""","""Release past burdens""",500
53,"(Value=""SaintGermain"")",3,"""The Philosopher's Stone""","""Create spiritual gold""",500
54,"(Value=""SaintGermain"")",4,"""Violet Flame Blessing""","""Master transmutation""",500
55,"(Value=""Neo"")",0,"""Red Pill / Blue Pill""","""Choice that defines path""",500
56,"(Value=""Neo"")",1,"""Training Simulation""","""Combat tutorial""",500
57,"(Value=""Neo"")",2,"""The Oracle's Prophecy""","""Meet ZION AI Oracle""",500
58,"(Value=""Neo"")",3,"""Agent Smith Battle""","""Boss fight (ego dissolution)""",500
59,"(Value=""Neo"")",4,"""I AM Neo""","""Self-realization ending""",500
